Number,Treatment,Rep,Cq_value,Log10_gene_copies,Gene_copies,Cell_equivalent,Other,Tissue,Experimental_pair
1,3543,3543_1,40,-0.55523167,0.278463533,0.092821178,0,Psyllid,TA
2,3543,3543_2,32.254,1.595180589,39.37137562,13.12379187,0,Psyllid,TA
3,3543,3543_3,31.822,1.71511063,51.89322122,17.29774041,0,Psyllid,TA
4,3543,3543_4,38.384,-0.106604481,0.78233997,0.26077999,0,Psyllid,TA
5,3543,3543_5,40,-0.55523167,0.278463533,0.092821178,0,Psyllid,TA
6,3543,3543_6,40,-0.55523167,0.278463533,0.092821178,0,Psyllid,TA
7,3543,3543_7,40,-0.55523167,0.278463533,0.092821178,0,Psyllid,TA
8,3543,3543_8,34.717,0.911412787,8.1547901,2.718263367,0,Psyllid,TA
9,3543,3543_9,36.851,0.318980595,2.084397745,0.694799248,0,Psyllid,TA
10,3543,3543_10,37.042,0.26595597,1.844828376,0.614942792,0,Psyllid,TA
11,3543,3543_11,35.551,0.67988118,4.784991608,1.594997203,0,Psyllid,TA
12,3543,3543_12,40,-0.55523167,0.278463533,0.092821178,0,Psyllid,TA
13,3543,3543_13,37.019,0.272341134,1.872152121,0.624050707,0,Psyllid,TA
14,3543,3543_14,40,-0.55523167,0.278463533,0.092821178,0,Psyllid,TA
15,3543,3543_15,40,-0.55523167,0.278463533,0.092821178,0,Psyllid,TA
16,3543,3543_16,37.73,0.074956276,1.188382576,0.396127525,0,Psyllid,TA
17,3543,3543_17,35.428,0.714027928,5.176401187,1.725467062,0,Psyllid,TA
18,3543,3543_18,40,-0.55523167,0.278463533,0.092821178,0,Psyllid,TA
19,3543,3543_19,40,-0.55523167,0.278463533,0.092821178,0,Psyllid,TA
20,3543,3543_20,40,-0.55523167,0.278463533,0.092821178,0,Psyllid,TA
21,3543,3543_21,37.550667,0.124741956,1.332729332,0.444243111,0,Psyllid,TA
22,3543,3543_22,40,-0.55523167,0.278463533,0.092821178,0,Psyllid,TA
23,3543,3543_23,40,-0.55523167,0.278463533,0.092821178,0,Psyllid,TA
24,3543,3543_24,33.036987,1.377810999,23.86772356,7.955907854,0,Psyllid,TA
25,3543,3543_25,40,-0.55523167,0.278463533,0.092821178,0,Psyllid,TA
26,3543,3543_26,35.99949,0.555373254,3.592305428,1.197435143,0,Psyllid,TA
27,3543,3543_27,40,-0.55523167,0.278463533,0.092821178,0,Psyllid,TA
28,3543,3543_28,40,-0.55523167,0.278463533,0.092821178,0,Psyllid,TA
29,3543,3543_29,38.402107,-0.111631271,0.773336893,0.257778964,0,Psyllid,TA
30,3543,3543_30,40,-0.55523167,0.278463533,0.092821178,0,Psyllid,TA
31,3543,3543_31,37.384075,0.170990533,1.48248577,0.494161923,0,Psyllid,TA
32,3543,3543_32,36.591564,0.391004136,2.460391038,0.820130346,0,Psyllid,TA
33,3543,3543_33,36.746937,0.347870131,2.227768872,0.742589624,0,Psyllid,TA
34,3543,3543_34,35.21611,0.772851947,5.927232287,1.975744096,0,Psyllid,TA
35,3543,3543_35,36.58316,0.39333722,2.473644129,0.824548043,0,Psyllid,TA
36,3543,3543_36,37.398247,0.167056162,1.469116247,0.489705416,0,Psyllid,TA
37,3543,3543_37,32.04841,1.652255629,44.90096022,14.96698674,0,Psyllid,TA
38,3543,3543_38,35.318886,0.744319702,5.550341465,1.850113822,0,Psyllid,TA
39,3543,3543_39,36.149773,0.513652314,3.263264782,1.087754927,0,Psyllid,TA
40,3543,3543_40,37.03949,0.266652786,1.847790738,0.615930246,0,Psyllid,TA
41,3543,3543_41,35.020454,0.827169151,6.716904155,2.238968052,0,Psyllid,TA
42,3543,3543_42,33.977684,1.116658616,13.08153224,4.360510746,0,Psyllid,TA
43,3543,3543_43,33.78014,1.171499958,14.84225738,4.947419126,0,Psyllid,TA
